12	18	16	30	0	
10	20	16	30	0	
7	21	17	27	0	
7	21	14	27	0	
4	18	13	28	0	
5	19	15	26	0	
5	19	17	28	0	
4	21	17	32	0	
4	23	15	26	0	
4	21	18	28	0	
5	22	16	31	0	
5	21	16	28	0	
6	23	16	27	0	
6	24	14	27	0	
5	25	14	27	0	
7	26	14	26	0	
6	25	14	26	0	
5	24	15	23	0	
6	27	14	24	0	
7	26	14	23	0	
7	24	11	21	0	
6	23	13	23	0	
7	21	16	19	0	
7	21	17	19	0	
8	23	17	24	0	
9	19	16	25	0	
11	19	15	26	0	
13	15	16	26	0	
11	15	14	24	0	
11	14	16	21	0	
14	16	16	21	0	
14	14	16	20	0	
15	10	14	21	0	
18	12	12	19	0	
18	11	12	18	0	
17	13	11	17	0	
17	14	13	20	0	
18	15	10	24	0	
18	15	9	25	0	
14	15	10	24	0	
12	14	11	24	0	
13	12	12	25	0	
13	10	14	26	0	
13	12	11	27	0	
13	13	13	28	0	
15	12	10	31	0	
16	13	10	30	0	
12	14	8	31	0	
12	13	10	26	0	
14	14	10	31	0	
13	14	9	32	4	
14	14	12	30	0	
13	12	14	31	0	
12	11	14	37	4	
12	14	12	33	4	
12	15	12	31	0	
10	17	12	33	0	
9	18	12	30	0	
9	22	13	29	0	
10	20	14	28	0	
10	20	13	31	0	
10	19	13	29	0	
11	18	11	31	0	
13	17	10	33	0	
16	19	10	32	0	
16	16	10	35	4	
14	15	8	38	4	
16	14	8	35	4	
16	13	10	31	0	
13	15	11	26	0	
10	20	11	27	0	
9	20	15	23	0	
12	19	14	22	0	
14	17	15	23	0	
13	19	17	22	0	
17	17	17	22	0	
17	16	18	23	0	
17	20	17	21	0	
17	22	19	19	0	
17	23	23	18	0	
15	22	21	18	0	
16	22	19	20	0	
13	22	21	18	0	
14	21	21	17	0	
14	20	23	17	0	
12	21	22	18	0	
13	22	22	20	0	
11	22	22	19	0	
13	24	25	16	0	
13	23	25	15	0	
13	22	25	18	0	
11	20	25	17	0	
13	20	26	14	0	
15	22	20	14	0	
16	19	22	16	0	
13	12	23	17	0	
12	12	21	18	0	
14	10	17	20	0	
12	10	20	24	0	
15	10	20	25	0	
18	10	21	26	0	
17	9	19	26	0	
16	9	20	25	0	
17	7	19	24	0	
17	7	18	23	0	
18	7	21	22	0	
17	7	20	21	0	
18	6	20	20	0	
19	4	21	23	0	
19	4	23	23	0	
18	5	25	22	0	
18	7	26	20	0	
20	7	23	23	0	
21	6	21	24	0	
19	4	21	24	0	
18	4	23	24	0	
17	6	22	28	0	
19	6	22	26	0	
19	3	20	26	0	
18	5	19	23	0	
19	4	20	18	0	
21	4	21	20	0	
22	6	23	21	0	
19	6	25	25	0	
20	6	25	24	0	
20	5	22	22	0	
20	6	21	24	0	
18	8	18	24	0	
19	8	19	27	0	
18	7	18	29	0	
20	7	20	27	0	
19	7	22	29	0	
17	7	26	33	0	
21	7	27	30	0	
22	6	25	29	0	
22	6	23	31	0	
22	5	22	30	0	
18	5	21	27	0	
19	4	21	30	0	
20	5	20	29	0	
21	5	19	25	0	
21	3	20	25	0	
22	3	19	28	0	
26	3	19	31	0	
25	3	20	30	0	
24	2	20	29	0	
20	3	20	23	0	
23	3	19	23	0	
22	3	18	20	0	
22	5	16	23	0	
22	6	17	23	0	
22	4	14	25	0	
20	4	17	28	0	
20	3	17	29	0	
20	3	18	28	0	
20	4	19	26	0	
20	5	21	23	0	
22	5	21	22	0	
23	7	16	23	0	
23	8	17	24	0	
26	9	19	22	0	
28	7	20	23	0	
32	8	15	24	0	
31	7	16	23	0	
32	7	19	17	0	
34	9	18	16	0	
28	9	17	14	0	
28	9	21	14	0	
30	9	22	13	0	
28	9	19	14	0	
26	9	17	16	0	
28	7	16	14	0	
29	8	14	15	0	
30	10	13	13	1	
30	9	12	14	0	
32	9	14	15	0	
31	10	14	16	0	
32	11	12	17	0	
32	13	13	15	0	
29	13	17	15	0	
27	15	19	14	0	
27	16	17	13	0	
26	15	21	15	0	
25	16	23	16	0	
22	16	22	17	0	
21	16	20	18	0	
19	14	22	19	0	
18	16	20	20	0	
18	17	22	15	0	
20	18	23	15	0	
19	14	21	15	0	
19	14	20	17	0	
18	15	20	17	0	
18	17	21	17	0	
17	19	20	18	0	
19	22	22	18	0	
20	21	22	15	0	
18	20	21	15	0	
16	18	21	16	0	
16	20	20	17	0	
16	23	21	18	0	
13	26	20	17	0	
15	26	19	17	0	
14	25	18	17	0	
14	24	21	17	0	
14	21	21	18	0	
13	22	22	16	0	
12	22	21	14	0	
13	25	21	13	0	
15	25	21	15	0	
15	22	19	16	0	
16	21	21	15	0	
15	21	22	16	0	
14	23	20	18	0	
12	23	21	21	0	
12	23	23	23	0	
11	22	21	22	0	
11	20	23	20	0	
10	16	25	19	0	
7	16	25	19	0	
8	16	28	20	0	
9	16	29	20	0	
8	14	28	22	0	
9	13	29	22	0	
9	12	29	22	0	
8	10	28	27	0	
7	11	29	27	0	
6	11	30	27	0	
8	10	28	26	0	
10	10	24	29	0	
12	8	22	27	0	
13	8	22	26	0	
12	7	22	28	0	
12	7	25	28	0	
13	7	25	30	0	
14	7	25	29	0	
12	8	24	26	0	
11	6	28	26	0	
11	7	25	28	0	
13	6	27	27	0	
13	8	26	26	0	
13	8	23	25	0	
12	8	27	25	0	
13	7	29	25	0	
15	7	27	27	0	
16	8	25	24	0	
18	9	31	23	0	
17	9	30	23	0	
18	9	31	21	0	
17	9	31	19	0	
16	9	33	20	0	
15	10	29	21	0	
15	9	30	24	0	
13	7	27	26	0	
